Temperature °C,150,300,600,900,1500,2500,4500
38,19.6,51.1,102.1,153.2,255.3,425.5,765.9
50,19.2,50.1,100.2,150.4,250.6,417.7,751.9
100,17.7,46.6,93.2,139.8,233,388.3,699
150,15.8,45.1,90.2,135.2,225.4,375.6,676.1
200,13.8,43.8,87.6,131.4,219,365,657
250,12.1,41.9,83.9,125.8,209.7,349.5,629.1
300,10.2,39.8,79.6,119.5,199.1,331.8,597.3
325,9.3,38.7,77.4,116.1,193.6,322.6,580.7
350,8.4,37.6,75.1,112.7,187.8,313,563.5
375,7.4,36.4,72.7,109.1,181.8,303.1,545.5
400,6.5,34.7,69.4,104.2,173.6,289.3,520.8
425,5.5,28.8,57.5,86.3,143.8,239.7,431.5
450,4.6,23,46,69,115,191.7,345.1
475,3.7,17.4,34.9,52.3,87.2,145.3,261.5
500,2.8,11.8,23.5,35.3,58.8,97.9,176.3
538,1.4,5.9,11.8,17.7,29.5,49.2,88.6
