FL ,FTO FL,FTc FL,FTC,FTO,PS1,PS3,PR1,PR2,PR3
0,0.937492162,0.937492162,0.156555894,0.156555894,0.937492162,0.98436677,0.965616927,0.979679309,0.998429153
1,0.937492162,0.937492162,0.156555894,0.156555894,0.937492162,0.98436677,0.965616927,0.979679309,0.998429153
2.5,0.937492162,0.937492162,0.156555894,0.156555894,0.937492162,0.98436677,0.965616927,0.979679309,0.998429153
5,0.937380122,0.937380122,0.187572794,0.187572794,0.937380122,0.984249128,0.965501526,0.979562227,0.99830983
7.5,0.937427041,0.937427041,0.218419834,0.218419834,0.937427041,0.984298393,0.965549852,0.979611258,0.998359799
10,0.93759167,0.93759167,0.250252166,0.250252166,0.93759167,0.984471254,0.96571942,0.979783295,0.998535129
12.5,0.937725374,0.937725374,0.278717802,0.278717802,0.937725374,0.984611643,0.965857135,0.979923016,0.998677523
15,0.937649722,0.937649722,0.302775023,0.302775023,0.937649722,0.984532208,0.965779214,0.979843959,0.998596954
17.5,0.937205133,0.937205133,0.32202476,0.32202476,0.937205133,0.98406539,0.965321287,0.979379364,0.998123467
20,0.936277237,0.936277237,0.336560904,0.336560904,0.936277237,0.983091099,0.964365554,0.978409713,0.997135257
22.5,0.934808546,0.934808546,0.346828337,0.346828337,0.934808546,0.981548973,0.962852802,0.976874931,0.995571101
25,0.932799375,0.932799375,0.353494138,0.353494138,0.932799375,0.979439344,0.960783356,0.974775347,0.993431334
27.5,0.93030138,0.93030138,0.357335854,0.357335854,0.93030138,0.976816449,0.958210421,0.972164942,0.99077097
30,0.927406514,0.927406514,0.359149272,0.359149272,0.927406514,0.97377684,0.955228709,0.969139807,0.987687937
32.5,0.924233698,0.924233698,0.359676866,0.359676866,0.924233698,0.970445383,0.951960709,0.965824214,0.984308888
35,0.920915014,0.920915014,0.359556982,0.359556982,0.920915014,0.966960765,0.948542464,0.96235619,0.98077449
37.5,0.917582811,0.917582811,0.359292831,0.359292831,0.917582811,0.963461952,0.945110295,0.958874037,0.977225694
40,0.914358689,0.914358689,0.359239565,0.359239565,0.914358689,0.960076623,0.94178945,0.95550483,0.973792004
42.5,0.911345001,0.911345001,0.359607044,0.359607044,0.911345001,0.956912251,0.938685351,0.952355526,0.970582426
45,0.908619193,0.908619193,0.360475382,0.360475382,0.908619193,0.954050153,0.935877769,0.949507057,0.967679441
47.5,0.906231012,0.906231012,0.361820021,0.361820021,0.906231012,0.951542563,0.933417942,0.947011408,0.965136028
50,0.904202442,0.904202442,0.363542865,0.363542865,0.904202442,0.949412564,0.931328515,0.944891552,0.962975601
52.5,0.902529991,0.902529991,0.365505962,0.365505962,0.902529991,0.947656491,0.929605891,0.943143841,0.96119444
55,0.901188862,0.901188862,0.367564332,0.367564332,0.901188862,0.946248305,0.928224528,0.941742361,0.959766138
57.5,0.900138414,0.900138414,0.369594778,0.369594778,0.900138414,0.945145335,0.927142566,0.940644643,0.958647411
60,0.899328296,0.899328296,0.371517969,0.371517969,0.899328296,0.944294711,0.926308145,0.939798069,0.957784635
62.5,0.898704598,0.898704598,0.373311609,0.373311609,0.898704598,0.943639828,0.925665736,0.939146305,0.957120397
65,0.89821542,0.89821542,0.375013266,0.375013266,0.89821542,0.943126191,0.925161883,0.938635114,0.956599422
67.5,0.897815319,0.897815319,0.37671231,0.37671231,0.897815319,0.942706085,0.924749779,0.938217008,0.956173315
70,0.897468224,0.897468224,0.378531436,0.378531436,0.897468224,0.942341635,0.924392271,0.937854294,0.955803659
72.5,0.897148544,0.897148544,0.380599477,0.380599477,0.897148544,0.942005971,0.924063,0.937520228,0.955463199
75,0.896840432,0.896840432,0.383018555,0.383018555,0.896840432,0.941682454,0.923745645,0.937198251,0.95513506
77.5,0.896535367,0.896535367,0.385830136,0.385830136,0.896535367,0.941362135,0.923431428,0.936879459,0.954810166
80,0.896228521,0.896228521,0.388986271,0.388986271,0.896228521,0.941039947,0.923115377,0.936558804,0.954483375
82.5,0.895914694,0.895914694,0.392334123,0.392334123,0.895914694,0.940710429,0.922792135,0.936230855,0.954149149
85,0.895584953,0.895584953,0.39562392,0.39562392,0.895584953,0.940364201,0.922452502,0.935886276,0.953797975
87.5,0.895225513,0.895225513,0.39855264,0.39855264,0.895225513,0.939986789,0.922082278,0.935510661,0.953415171
90,0.894820813,0.894820813,0.400858119,0.400858119,0.894820813,0.939561854,0.921665437,0.93508775,0.952984166
92.5,0.894363252,0.894363252,0.402480754,0.402480754,0.894363252,0.939081415,0.92119415,0.934609598,0.952496863
95,0.893872492,0.893872492,0.403812719,0.403812719,0.893872492,0.938566117,0.920688667,0.934096754,0.951974204
97.5,0.893427833,0.893427833,0.406057438,0.406057438,0.893427833,0.938099225,0.920230668,0.933632085,0.951500642
100,0.893201418,0.893201418,0.411406321,0.411406321,0.893201418,0.937861489,0.919997461,0.933395482,0.95125951
