Renoyld No,C1,C2,C3,C4
1,0.01,0.02,0.01,0.01
2,0.01,0.02,0.01,0.01
3,0.04,0.02,0.01,0.01
4,0.07,0.05,0.04,0.02
5,0.1,0.05,0.03,0.03
6,0.13,0.08,0.06,0.03
7,0.16,0.11,0.09,0.06
8,0.19,0.14,0.12,0.09
9,0.22,0.17,0.15,0.12
10,0.25,0.2,0.18,0.15
20,0.28,0.23,0.21,0.18
30,0.31,0.26,0.24,0.21
40,0.34,0.29,0.27,0.24
50,0.37,0.32,0.3,0.27
60,0.4,0.35,0.33,0.3
70,0.43,0.38,0.36,0.33
80,0.46,0.41,0.39,0.36
90,0.49,0.44,0.42,0.39
100,0.52,0.47,0.45,0.42
200,0.54,0.49,0.47,0.44
300,0.56,0.51,0.49,0.46
400,0.58,0.53,0.51,0.48
500,0.6,0.55,0.53,0.5
600,0.66,0.61,0.59,0.56
700,0.72,0.67,0.65,0.62
800,0.74,0.69,0.67,0.64
900,0.78,0.73,0.71,0.68
1000,0.8,0.75,0.73,0.7
2000,0.8,0.8,0.8,0.8
3000,0.85,0.85,0.85,0.85
4000,0.9,0.9,0.9,0.9
5000,0.93,0.93,0.93,0.93
6000,0.95,0.95,0.95,0.95
7000,0.96,0.96,0.96,0.96
8000,0.97,0.97,0.97,0.97
9000,0.99,0.99,0.99,0.99
10000,1,1,1,1
