VALVE SIZE,PTFE V-Ring+EPDM,PTFE V-Ring+VITON,PTFE braided,Carbon/INCONEL,Pure Graphite + EPDM,Pure Graphite + VITON,TA-Luft,Chesterton 477,Chesterton 324,Chesteron LL,T-L,T-GP,QV,QE
0.5,414,414,714,1014,1014,1014,414,1014,1014,28,1014,714,414,414
0.75,414,414,714,1014,1014,1014,414,1014,1014,28,1014,714,414,414
1,414,414,714,1014,1014,1014,414,1014,1014,28,1014,714,414,414
1.5,414,414,714,1014,1014,1014,414,1014,1014,28,1014,714,414,414
2,450,450,750,1050,1050,1050,450,1050,1050,64,1050,750,450,450
2.5,520,520,750,1014,1014,1014,414,1014,1014,40,1014,714,414,414
3,580,580,930,1580,1580,1580,580,1580,1580,100,1580,930,580,580
4,600,600,950,1600,1600,1600,600,1600,1600,120,1600,950,600,600
6,650,650,1000,1650,1650,1650,650,1650,1650,170,1650,1000,650,650
8,950,950,1050,2200,2200,2200,950,2200,2200,230,2200,1050,950,950
10,1000,1000,1525,2250,2250,2250,1000,2250,2250,280,2250,1525,1000,1000
12,1050,1050,1575,2300,2300,2300,1050,2300,2300,330,2300,1575,1050,1050
14,1100,1100,1625,2350,2350,2350,1100,2350,2350,380,2350,1625,1100,1100
16,1150,1150,1675,2400,2400,2400,1150,2400,2400,430,2400,1675,1150,1150
