Valve size(inches),Lift,maximum Kv values,Kv VALUES FOR CAGE,Fd values for cage
0.5,16,0.06,45,0.149
0.5,16,0.1,45,0.149
0.5,16,0.16,45,0.149
0.5,16,0.25,45,0.149
0.5,16,0.4,45,0.149
0.5,16,0.63,45,0.149
0.5,16,1,45,0.149
0.5,16,1.6,45,0.149
0.5,16,2.5,45,0.149
0.5,16,4,45,0.149
1,16,0.06,45,0.149
1,16,0.1,45,0.149
1,16,0.16,45,0.149
1,16,0.25,45,0.149
1,16,0.4,45,0.149
1,16,0.63,45,0.149
1,16,1,45,0.149
1,16,1.6,45,0.149
1,16,2.5,45,0.149
1,16,4,45,0.149
1,16,6.3,45,0.149
1,16,10,45,0.149
1.5,16,6.3,121,0.149
1.5,16,10,121,0.149
1.5,16,16,121,0.149
1.5,16,25,121,0.149
2,16,10,121,0.091
2,16,16,121,0.091
2,16,25,121,0.091
2,16,40,121,0.091
2.5,16,25,121,0.091
2.5,16,40,121,0.091
2.5,16,63,121,0.091
3,30,40,194,0.0721
3,30,63,194,0.0721
3,30,100,194,0.0721
4,30,63,273,0.0608
4,30,100,273,0.0608
4,30,160,273,0.0608
6,60,150,508,0.055
6,60,260,508,0.055
6,60,380,508,0.055
8,60,260,969,0.043
8,60,380,969,0.043
8,60,650,969,0.043
10,100,380,1292,0.074
10,100,650,1292,0.074
10,100,900,1292,0.074
12,100,650,1750,0.0645
12,100,900,1750,0.0645
12,100,1300,1750,0.0645
14,100,900,2777,0.04767
14,100,1300,2777,0.04767
14,100,1800,2777,0.04767
16,120,1300,3447,0.0455
16,120,1800,3447,0.0455
16,120,2500,3447,0.0455
