Valvesize(inches),Lift,Seatdia(Non presure balance),Seatdia( presure balance),maximum Kv values,SteamDia(mm),
0.5,10,12,0,0.1,14,M3
1,10,12,0,0.1,14,M3
0.5,10,12,0,0.25,14,M3
1,10,12,0,0.25,14,M3
0.5,10,12,0,0.4,14,M3
1,10,12,0,0.4,14,M3
0.5,16,16,0,0.63,14,P3
1,16,16,0,0.63,14,P3
0.5,16,16,0,1,14,P3
1,16,16,0,1,14,P3
0.5,16,16,0,1.6,14,P3
1,16,16,0,1.6,14,P3
1.5,16,16,0,1.6,14,P3
2,16,16,0,1.6,14,P3
1.5,16,16,0,1.6,14,P3
0.5,16,16,0,2.5,14,P3
1,16,16,0,2.5,14,P3
1.5,16,16,0,2.5,14,P3
2,16,16,0,2.5,14,P3
2.5,16,16,0,2.5,14,P3
1,16,16,0,3,14,P3
1.5,16,20,0,3,14,P3
2,16,20,0,3,14,P3
2.5,16,20,0,3,14,P3
1,16,16,0,4,14,P3
1.5,16,20,0,4,14,P3
2,16,20,0,4,14,P3
2.5,16,20,0,4,14,P3
2,16,30,0,7,14,P3
2.5,16,30,0,7,14,P3
2,16,30,0,8,14,P3
2.5,16,30,0,8,14,P3
3,30,36,0,8,20,P3
2,16,36,0,9.2,14,P3
2.5,16,36,0,9.2,14,P3
2,16,36,0,10,14,P3
2.5,16,36,0,10,14,P3
3,30,36,0,10,20,P3
3,30,50,0,24,20,P3
3,30,50,0,37,20,P3
3,30,50,0,40,20,P3
3,30,50,0,43,20,P3
6,30,113,0,63,20,P3
6,30,90,0,75,20,P3
6,30,113,0,90,20,P3
6,30,90,0,110,20,P3
