Pipe size( inches),Pipe size( mm),Outer Diameter(inches),Pipe size( inches) for software,Sch 5S,Sch 10S,Sch 10,Sch 20,Sch 30,Sch 40S,Sch 40,Sch STD,Sch 60,Sch 80S,Sch 80,Sch XS,Sch 100,Sch 120,Sch 140,Sch 160,Sch XXS
1/8,3.18,0.41,0.125,0.000,0.049,0.049,0.000,0.057,0.068,0.068,0.068,0.000,0.095,0.095,0.000,0.000,0.000,0.000,0.000,0.000
1/4,6.35,0.54,0.250,0.000,0.065,0.007,0.000,0.073,0.068,0.068,0.088,0.000,0.119,0.119,0.000,0.000,0.000,0.000,0.000,0.000
3/8,10.00,0.67,0.375,0.000,0.065,0.065,0.000,0.073,0.091,0.091,0.091,0.000,0.126,0.126,0.000,0.000,0.000,0.000,0.000,0.000
1/2,15.00,0.84,0.500,0.065,0.083,0.065,0.000,0.095,0.109,0.109,0.109,0.000,0.147,0.147,0.000,0.000,0.000,0.000,0.187,0.000
3/4,20.00,1.05,0.750,0.065,0.083,0.083,0.000,0.095,0.113,0.113,0.113,0.000,0.154,0.154,0.000,0.000,0.000,0.000,0.218,0.000
1,25.00,1.31,1.000,0.065,0.109,0.109,0.000,0.114,0.133,0.133,0.133,0.000,0.179,0.179,0.000,0.000,0.000,0.000,0.250,0.000
1 1/4,32.00,1.66,1.250,0.065,0.109,0.109,0.000,0.117,0.140,0.140,0.140,0.000,0.191,0.191,0.000,0.000,0.000,0.000,0.250,0.000
1 1/2,40.00,1.90,1.500,0.065,0.109,0.109,0.000,0.125,0.145,0.145,0.145,0.000,0.200,0.200,0.000,0.000,0.000,0.000,0.281,0.000
2,50.00,2.37,2.000,0.065,0.109,0.109,0.000,0.125,0.154,0.154,0.154,0.000,0.218,0.218,0.218,0.000,0.000,0.000,0.343,0.436
2 1/2,65.00,2.87,2.500,0.083,0.120,0.120,0.000,0.188,0.203,0.203,0.203,0.000,0.276,0.276,0.276,0.000,0.000,0.000,0.375,0.552
3,80.00,3.50,3.000,0.083,0.120,0.120,0.000,0.188,0.216,0.216,0.216,0.000,0.300,0.300,0.300,0.000,0.000,0.000,0.438,0.6
3 1/2,90.00,4.00,3.500,0.083,0.120,0.120,0.000,0.188,0.226,0.226,0.226,0.000,0.318,0.318,0.318,0.000,0.000,0.000,0.000,0.000
4,100.00,4.50,4.00,0.083,0.120,0.120,0.000,0.188,0.237,0.237,0.237,0.000,0.337,0.337,0.337,0.000,0.000,0.000,0.531,0.674
5,125.00,5.56,5.00,0.109,0.134,0.134,0.000,0.000,0.258,0.258,0.258,0.000,0.375,0.375,0.375,0.000,0.500,0.000,0.625,0.75
6,150.00,6.63,6.00,0.109,0.134,0.134,0.000,0.000,0.280,0.280,0.280,0.000,0.432,0.432,0.432,0.000,0.562,0.000,0.718,0.864
8,200.00,8.63,8.00,0.109,0.148,0.148,0.250,0.277,0.322,0.322,0.322,0.406,0.500,0.500,0.500,0.593,0.719,0.812,0.906,0.875
10,250.00,10.75,10.00,0.134,0.165,0.165,0.250,0.307,0.365,0.365,0.365,0.500,0.500,0.593,0.593,0.719,0.844,1.000,1.125,1
12,300.00,12.75,12.00,0.156,0.180,0.180,0.250,0.330,0.406,0.406,0.406,0.562,0.500,0.688,0.500,0.844,1.000,1.125,1.312,1
14,350.00,14.00,14.00,0.156,0.188,0.250,0.312,0.375,0.000,0.438,0.375,0.593,0.000,0.750,0.500,0.938,1.094,1.250,1.406,0.000
16,400.00,16.00,16.00,0.165,0.188,0.250,0.312,0.375,0.500,0.500,0.375,0.656,0.000,0.844,0.500,1.031,1.219,1.438,1.593,0.000
18,450.00,18.00,18.00,0.165,0.188,0.250,0.312,0.438,0.562,0.562,0.375,0.750,0.000,0.938,0.500,1.156,1.375,1.562,1.781,0.000
20,500.00,20.00,20.00,0.188,0.218,0.250,0.375,0.500,0.593,0.593,0.375,0.812,0.000,1.031,0.500,1.281,1.500,1.750,1.968,0.000
22,550.00,22.00,22.00,0.188,0.218,0.250,0.375,0.500,0.000,0.625,0.375,0.875,0.000,1.125,0.500,1.375,1.625,1.875,2.125,0.000
24,600.00,23.99,24.00,0.218,0.250,0.250,0.375,0.562,0.688,0.688,0.375,0.969,0.000,1.218,0.500,1.531,1.812,2.062,2.343,0.000
26,650.00,26.00,26.00,0.000,0.312,0.312,0.500,0.000,0.000,0.000,0.375,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
28,700.00,28.00,28.00,0.000,0.312,0.312,0.500,0.625,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
30,750.00,30.00,30.00,0.250,0.312,0.312,0.500,0.625,0.000,0.000,0.375,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
32,800.00,32.00,32.00,0.000,0.312,0.312,0.500,0.625,0.688,0.688,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
34,850.00,34.00,34.00,0.000,0.312,0.312,0.500,0.625,0.688,0.688,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
36,900.00,36.00,36.00,0.000,0.312,0.312,0.500,0.625,0.750,0.750,0.375,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
38,950.00,38.00,38.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.375,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
40,1000.00,40.00,40.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.375,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
42,1050.00,42.00,42.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.375,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
44,1100.00,44.00,44.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.375,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
46,1150.00,46.00,46.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.375,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
48,1200.00,48.00,48.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.375,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
