SEAT DIA(mm),PTFE/EPDM 140Grd,PTFE/VITON 180Grd,PTFE-Trapez 200Grd,PEEK 250Grd,PEEK/plug
3,1036.2,1036.2,1036.2,2072.4,1695.6
4,1036.2,1036.2,1036.2,2072.4,1695.6
5,1036.2,1036.2,1036.2,2072.4,1695.6
8,1036.2,1036.2,1036.2,2072.4,1695.6
10,1036.2,1036.2,1036.2,2072.4,1695.6
12,1036.2,1036.2,1036.2,2072.4,1695.6
15,1036.2,1036.2,1036.2,2072.4,1695.6
20,1271.7,1271.7,1271.7,2543.4,2166.6
25,1507.2,1507.2,1507.2,3014.4,2637.6
30,1766.25,1766.25,1766.25,3532.5,3108.6
36,2048.85,2048.85,2048.85,4097.7,3673.8
46,2708.25,2708.25,2708.25,5416.5,4615.8
50,2708.25,2708.25,2708.25,5416.5,4992.6
80,4215.45,4215.45,4215.45,8430.9,7818.6
100,5157.45,5157.45,5157.45,10314.9,9702.6
90,4686.453,4686.453,4686.453,9372.906,8760.6
113,5769,5769,5769,11538,10927.2
143,7559.55,7559.55,7559.55,15119.1,13753.2
172,8548.65,8548.65,8548.65,17097.3,16485
220,10880.1,10880.1,10880.1,21760.2,21006.6
282,13046,13046,13046,26092,26847
313,15166.2,15166.2,15166.2,30332.4,29767.2
400,19876.2,19876.2,19876.2,39752.4,37962.6
